S1,S2,S3,S4,S5,S6
1,30,60,90,120,150
2,31,61,91,121,151
3,32,62,92,122,152
4,33,63,93,123,153
5,34,64,94,124,154
6,35,65,95,125,155
7,36,66,96,126,156
8,37,67,97,127,157
9,38,68,98,128,158
10,39,69,99,129,159
11,40,70,100,130,160
12,41,71,101,131,161
13,42,72,102,132,162
14,43,73,103,133,163
15,44,74,104,134,164
16,45,75,105,135,165
17,46,76,106,136,166
18,47,77,107,137,167
19,48,78,108,138,168
20,49,79,109,139,169
21,50,80,110,140,170
22,51,81,111,141,171
23,52,82,112,142,172
24,53,83,113,143,173
25,54,84,114,144,174
26,55,85,115,145,175
27,56,86,116,146,176
28,57,87,117,147,177
29,58,88,118,148,178
30,59,89,119,149,179
31,60,90,120,150,180
32,61,91,121,151,1
33,62,92,122,152,2
34,63,93,123,153,3
35,64,94,124,154,4
36,65,95,125,155,5
37,66,96,126,156,6
38,67,97,127,157,7
39,68,98,128,158,8
40,69,99,129,159,9
41,70,100,130,160,10
42,71,101,131,161,11
43,72,102,132,162,12
44,73,103,133,163,13
45,74,104,134,164,14
46,75,105,135,165,15
47,76,106,136,166,16
48,77,107,137,167,17
49,78,108,138,168,18
50,79,109,139,169,19
51,80,110,140,170,20
52,81,111,141,171,21
53,82,112,142,172,22
54,83,113,143,173,23
55,84,114,144,174,24
56,85,115,145,175,25
57,86,116,146,176,26
58,87,117,147,177,27
59,88,118,148,178,28
60,89,119,149,179,29
61,90,120,150,180,30
62,91,121,151,1,31
63,92,122,152,2,32
64,93,123,153,3,33
65,94,124,154,4,34
66,95,125,155,5,35
67,96,126,156,6,36
68,97,127,157,7,37
69,98,128,158,8,38
70,99,129,159,9,39
71,100,130,160,10,40
72,101,131,161,11,41
73,102,132,162,12,42
74,103,133,163,13,43
75,104,134,164,14,44
76,105,135,165,15,45
77,106,136,166,16,46
78,107,137,167,17,47
79,108,138,168,18,48
80,109,139,169,19,49
81,110,140,170,20,50
82,111,141,171,21,51
83,112,142,172,22,52
84,113,143,173,23,53
85,114,144,174,24,54
86,115,145,175,25,55
87,116,146,176,26,56
88,117,147,177,27,57
89,118,148,178,28,58
90,119,149,179,29,59
91,120,150,180,30,60
92,121,151,1,31,61
93,122,152,2,32,62
94,123,153,3,33,63
95,124,154,4,34,64
96,125,155,5,35,65
97,126,156,6,36,66
98,127,157,7,37,67
99,128,158,8,38,68
100,129,159,9,39,69
101,130,160,10,40,70
102,131,161,11,41,71
103,132,162,12,42,72
104,133,163,13,43,73
105,134,164,14,44,74
106,135,165,15,45,75
107,136,166,16,46,76
108,137,167,17,47,77
109,138,168,18,48,78
110,139,169,19,49,79
111,140,170,20,50,80
112,141,171,21,51,81
113,142,172,22,52,82
114,143,173,23,53,83
115,144,174,24,54,84
116,145,175,25,55,85
117,146,176,26,56,86
118,147,177,27,57,87
119,148,178,28,58,88
120,149,179,29,59,89
121,150,180,30,60,90
122,151,1,31,61,91
123,152,2,32,62,92
124,153,3,33,63,93
125,154,4,34,64,94
126,155,5,35,65,95
127,156,6,36,66,96
128,157,7,37,67,97
129,158,8,38,68,98
130,159,9,39,69,99
131,160,10,40,70,100
132,161,11,41,71,101
133,162,12,42,72,102
134,163,13,43,73,103
135,164,14,44,74,104
136,165,15,45,75,105
137,166,16,46,76,106
138,167,17,47,77,107
139,168,18,48,78,108
140,169,19,49,79,109
141,170,20,50,80,110
142,171,21,51,81,111
143,172,22,52,82,112
144,173,23,53,83,113
145,174,24,54,84,114
146,175,25,55,85,115
147,176,26,56,86,116
148,177,27,57,87,117
149,178,28,58,88,118
150,179,29,59,89,119
151,180,30,60,90,120
152,1,31,61,91,121
153,2,32,62,92,122
154,3,33,63,93,123
155,4,34,64,94,124
156,5,35,65,95,125
157,6,36,66,96,126
158,7,37,67,97,127
159,8,38,68,98,128
160,9,39,69,99,129
161,10,40,70,100,130
162,11,41,71,101,131
163,12,42,72,102,132
164,13,43,73,103,133
165,14,44,74,104,134
166,15,45,75,105,135
167,16,46,76,106,136
168,17,47,77,107,137
169,18,48,78,108,138
170,19,49,79,109,139
171,20,50,80,110,140
172,21,51,81,111,141
173,22,52,82,112,142
174,23,53,83,113,143
175,24,54,84,114,144
176,25,55,85,115,145
177,26,56,86,116,146
178,27,57,87,117,147
179,28,58,88,118,148
180,29,59,89,119,149
